Название,Цена,Месячная плата,Объем двигателя,Тип топлива,Мощность,Коробка передач,Привод,Пробег (км),Руль,Локация
Honda Fit 2017,1418000,22644,1496 см3,гибрид,(110 л.с.),Автомат робот,Передний привод,67743,Правый руль,"г. Иркутск, МТРК ""Сильвер Молл"" (ул. Сергеева, 3/5)"
Toyota Corolla 2012,1325000,21159,1598 см3,Бензин,(124 л.с.),Автоматическая,Передний привод,88100,Левый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Toyota Vitz 2018,1160000,18524,996 см3,Бензин,(69 л.с.),Автомат вариатор,Передний привод,17577,Правый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Lada (ВАЗ) Vesta 2020,998000,15937,1596 см3,Бензин,(106 л.с.),Механическая,Передний привод,83363,Левый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Subaru Forester 2011,1400000,22356,1995 см3,Бензин,(150 л.с.),Автоматическая,Полный привод,154000,Левый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Mitsubishi Outlander 2012,1833000,29271,2360 см3,Бензин,(167 л.с.),Автомат вариатор,Полный привод,173250,Левый руль,"г. Иркутск, МТРК ""Сильвер Молл"" (ул. Сергеева, 3/5)"
Toyota Passo 2005,620000,9901,1297 см3,Бензин,(90 л.с.),Автоматическая,Передний привод,119000,Правый руль,"г. Иркутск, МТРК ""Сильвер Молл"" (ул. Сергеева, 3/5)"
Renault Kaptur 2016,1460000,23315,1998 см3,Бензин,(143 л.с.),Автоматическая,Полный привод,158595,Левый руль,"г. Иркутск, ул. Мамина-Сибиряка, 19/1"
Honda Fit 2007,790000,12616,1496 см3,Бензин,(120 л.с.),Автомат вариатор,Передний привод,189500,Правый руль,"г. Иркутск, МТРК ""Сильвер Молл"" (ул. Сергеева, 3/5)"
Ford Focus 2013,900000,14372,1596 см3,Бензин,(105 л.с.),Автомат робот,Передний привод,155162,Левый руль,"г. Иркутск, ул. Мамина-Сибиряка, 19/1"
Mercedes-Benz C-Класс 2013,1840000,29383,1796 см3,Бензин,(184 л.с.),Автоматическая,Задний привод,81023,Правый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
BMW 5 серии 2013,2100000,33534,1995 см3,дизель,(184 л.с.),Автоматическая,Задний привод,97158,Правый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Toyota Camry 2018,3298000,52665,3456 см3,Бензин,(249 л.с.),Автоматическая,Передний привод,100200,Левый руль,"г. Иркутск, МТРК ""Сильвер Молл"" (ул. Сергеева, 3/5)"
Nissan Sylphy 2021,2600000,41519,1198 см3,гибрид,(136 л.с.),Автоматическая,Передний привод,6278,Левый руль,"г. Иркутск, ул. Мамина-Сибиряка, 19/1"
Infiniti FX 2008,1680000,26828,3498 см3,Бензин,(307 л.с.),Автоматическая,Полный привод,271400,Левый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Toyota Tank 2018,1040000,16608,996 см3,Бензин,(69 л.с.),Автомат вариатор,Полный привод,102823,Правый руль,"г. Иркутск, ул. Мамина-Сибиряка, 19/1"
Honda Fit 2017,1418000,22644,1496 см3,гибрид,(110 л.с.),Автомат робот,Передний привод,67743,Правый руль,"г. Иркутск, МТРК ""Сильвер Молл"" (ул. Сергеева, 3/5)"
Toyota Corolla 2012,1325000,21159,1598 см3,Бензин,(124 л.с.),Автоматическая,Передний привод,88100,Левый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Toyota Vitz 2018,1160000,18524,996 см3,Бензин,(69 л.с.),Автомат вариатор,Передний привод,17577,Правый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Lada (ВАЗ) Vesta 2020,998000,15937,1596 см3,Бензин,(106 л.с.),Механическая,Передний привод,83363,Левый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Subaru Forester 2011,1400000,22356,1995 см3,Бензин,(150 л.с.),Автоматическая,Полный привод,154000,Левый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Mitsubishi Outlander 2012,1833000,29271,2360 см3,Бензин,(167 л.с.),Автомат вариатор,Полный привод,173250,Левый руль,"г. Иркутск, МТРК ""Сильвер Молл"" (ул. Сергеева, 3/5)"
Toyota Passo 2005,620000,9901,1297 см3,Бензин,(90 л.с.),Автоматическая,Передний привод,119000,Правый руль,"г. Иркутск, МТРК ""Сильвер Молл"" (ул. Сергеева, 3/5)"
Renault Kaptur 2016,1460000,23315,1998 см3,Бензин,(143 л.с.),Автоматическая,Полный привод,158595,Левый руль,"г. Иркутск, ул. Мамина-Сибиряка, 19/1"
Honda Fit 2007,790000,12616,1496 см3,Бензин,(120 л.с.),Автомат вариатор,Передний привод,189500,Правый руль,"г. Иркутск, МТРК ""Сильвер Молл"" (ул. Сергеева, 3/5)"
Ford Focus 2013,900000,14372,1596 см3,Бензин,(105 л.с.),Автомат робот,Передний привод,155162,Левый руль,"г. Иркутск, ул. Мамина-Сибиряка, 19/1"
Mercedes-Benz C-Класс 2013,1840000,29383,1796 см3,Бензин,(184 л.с.),Автоматическая,Задний привод,81023,Правый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
BMW 5 серии 2013,2100000,33534,1995 см3,дизель,(184 л.с.),Автоматическая,Задний привод,97158,Правый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Toyota Camry 2018,3298000,52665,3456 см3,Бензин,(249 л.с.),Автоматическая,Передний привод,100200,Левый руль,"г. Иркутск, МТРК ""Сильвер Молл"" (ул. Сергеева, 3/5)"
Nissan Sylphy 2021,2600000,41519,1198 см3,гибрид,(136 л.с.),Автоматическая,Передний привод,6278,Левый руль,"г. Иркутск, ул. Мамина-Сибиряка, 19/1"
Infiniti FX 2008,1680000,26828,3498 см3,Бензин,(307 л.с.),Автоматическая,Полный привод,271400,Левый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Toyota Tank 2018,1040000,16608,996 см3,Бензин,(69 л.с.),Автомат вариатор,Полный привод,102823,Правый руль,"г. Иркутск, ул. Мамина-Сибиряка, 19/1"
Honda Fit 2017,1418000,22644,1496 см3,гибрид,(110 л.с.),Автомат робот,Передний привод,67743,Правый руль,"г. Иркутск, МТРК ""Сильвер Молл"" (ул. Сергеева, 3/5)"
Toyota Corolla 2012,1325000,21159,1598 см3,Бензин,(124 л.с.),Автоматическая,Передний привод,88100,Левый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Toyota Vitz 2018,1160000,18524,996 см3,Бензин,(69 л.с.),Автомат вариатор,Передний привод,17577,Правый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Lada (ВАЗ) Vesta 2020,998000,15937,1596 см3,Бензин,(106 л.с.),Механическая,Передний привод,83363,Левый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Subaru Forester 2011,1400000,22356,1995 см3,Бензин,(150 л.с.),Автоматическая,Полный привод,154000,Левый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Mitsubishi Outlander 2012,1833000,29271,2360 см3,Бензин,(167 л.с.),Автомат вариатор,Полный привод,173250,Левый руль,"г. Иркутск, МТРК ""Сильвер Молл"" (ул. Сергеева, 3/5)"
Toyota Passo 2005,620000,9901,1297 см3,Бензин,(90 л.с.),Автоматическая,Передний привод,119000,Правый руль,"г. Иркутск, МТРК ""Сильвер Молл"" (ул. Сергеева, 3/5)"
Renault Kaptur 2016,1460000,23315,1998 см3,Бензин,(143 л.с.),Автоматическая,Полный привод,158595,Левый руль,"г. Иркутск, ул. Мамина-Сибиряка, 19/1"
Honda Fit 2007,790000,12616,1496 см3,Бензин,(120 л.с.),Автомат вариатор,Передний привод,189500,Правый руль,"г. Иркутск, МТРК ""Сильвер Молл"" (ул. Сергеева, 3/5)"
Ford Focus 2013,900000,14372,1596 см3,Бензин,(105 л.с.),Автомат робот,Передний привод,155162,Левый руль,"г. Иркутск, ул. Мамина-Сибиряка, 19/1"
Mercedes-Benz C-Класс 2013,1840000,29383,1796 см3,Бензин,(184 л.с.),Автоматическая,Задний привод,81023,Правый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
BMW 5 серии 2013,2100000,33534,1995 см3,дизель,(184 л.с.),Автоматическая,Задний привод,97158,Правый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Toyota Camry 2018,3298000,52665,3456 см3,Бензин,(249 л.с.),Автоматическая,Передний привод,100200,Левый руль,"г. Иркутск, МТРК ""Сильвер Молл"" (ул. Сергеева, 3/5)"
Nissan Sylphy 2021,2600000,41519,1198 см3,гибрид,(136 л.с.),Автоматическая,Передний привод,6278,Левый руль,"г. Иркутск, ул. Мамина-Сибиряка, 19/1"
Infiniti FX 2008,1680000,26828,3498 см3,Бензин,(307 л.с.),Автоматическая,Полный привод,271400,Левый руль,"г. Иркутск, МТЦ ""Новый"" (ул. Советская, 58/1)"
Toyota Tank 2018,1040000,16608,996 см3,Бензин,(69 л.с.),Автомат вариатор,Полный привод,102823,Правый руль,"г. Иркутск, ул. Мамина-Сибиряка, 19/1"
Honda Fit 2017,1418000,22644,1496 см3,гибрид,(110 л.с.),Автомат робот,Передний привод,67743,Правый руль,"г. Иркутск, МТРК ""Сильвер Молл"" (ул. Сергеева, 3/5)"
